name,rate,priority,class_type,zip_postal_code,status
AK - (NEW STUYAHOK),0,0,zip-postal-code,99636,active
AK - (TOKSOOK BAY),2,0,zip-postal-code,99637,active
AK - (ALASKA),0,0,zip-postal-code,99638,active
AK - (KENAI PENINSULA),3,0,zip-postal-code,99639,active
AK - (LAKE PENINSULA BRG),0,0,zip-postal-code,99640,active
AK - (NUNAPITCHUK),4,0,zip-postal-code,99641,active
AK - (OLD HARBOR),3,0,zip-postal-code,99643,active
AK - (OUZINKIE),6,0,zip-postal-code,99644,active
AK - (PALMER),3,0,zip-postal-code,99645,active
AK - (LAKE PENINSULA BRG),0,0,zip-postal-code,99647,active
AK - (LAKE PENINSULA BRG),0,0,zip-postal-code,99648,active
AK - (PILOT POINT),0,0,zip-postal-code,99649,active
AK - (PILOT STATION),4,0,zip-postal-code,99650,active
AK - (PLATINUM),0,0,zip-postal-code,99651,active
AK - (MATANUSKA-SUSITNA BRG),0,0,zip-postal-code,99652,active
AK - (LAKE PENINSULA BRG),0,0,zip-postal-code,99653,active
AK - (WASILLA),2.5,0,zip-postal-code,99654,active
AK - (QUINHAGAK),3,0,zip-postal-code,99655,active
AK - (ALASKA),0,0,zip-postal-code,99656,active
AK - (RUSSIAN MISSION),0,0,zip-postal-code,99657,active
AK - (SAINT MARYS),3,0,zip-postal-code,99658,active
AK - (SAINT MICHAEL),4,0,zip-postal-code,99659,active
AK - (SAINT PAUL),3.5,0,zip-postal-code,99660,active
AK - (SAND POINT),4,0,zip-postal-code,99661,active
AK - (SCAMMON BAY),6,0,zip-postal-code,99662,active
AK - (SELDOVIA),5,0,zip-postal-code,99663,active
AK - (SEWARD),7,0,zip-postal-code,99664,active
AK - (SHAGELUK),0,0,zip-postal-code,99665,active
AK - (NUNAM IQUA),4,0,zip-postal-code,99666,active
AK - (MATANUSKA-SUSITNA BRG),0,0,zip-postal-code,99667,active
AK - (ALASKA),0,0,zip-postal-code,99668,active
AK - (SOLDOTNA),6,0,zip-postal-code,99669,active
AK - (BRISTOL BAY BOROUGH),0,0,zip-postal-code,99670,active
AK - (STEBBINS),4,0,zip-postal-code,99671,active
AK - (KENAI PENINSULA),3,0,zip-postal-code,99672,active
AK - (MATANUSKA-SUSITNA BRG),0,0,zip-postal-code,99674,active
AK - (ALASKA),0,0,zip-postal-code,99675,active
AK - (MATANUSKA-SUSITNA BRG),3,0,zip-postal-code,99676,active
AK - (ALASKA),0,0,zip-postal-code,99677,active
AK - (TOGIAK),2,0,zip-postal-code,99678,active
AK - (ALASKA),0,0,zip-postal-code,99679,active
AK - (ALASKA),0,0,zip-postal-code,99680,active
AK - (ALASKA),0,0,zip-postal-code,99681,active
AK - (KENAI PENINSULA),3,0,zip-postal-code,99682,active
AK - (MATANUSKA-SUSITNA BRG),0,0,zip-postal-code,99683,active
AK - (UNALAKLEET),5,0,zip-postal-code,99684,active
AK - (UNALASKA),3,0,zip-postal-code,99685,active
AK - (VALDEZ),0,0,zip-postal-code,99686,active
